7	376	1	376																											
			Seed																											
		Tax23		Tax26		Tax36		Tax60		Tax86		Tax92		Tax362																
S-M1	Seed	0	0	209	209	184	184	102	102	153	153	192	219	99	99															
S-M2	Seed	176	176	209	209	122	184	102	158	153	190	219	219	99	99															
S-M3	Seed	0	0	209	209	122	174	102	158	153	190	221	221	99	99															
S-M4	Seed	176	176	239	239	146	174	102	102	153	202	215	215	103	103															
S-M5	Seed	0	0	239	239	146	174	102	102	301	301	163	272	103	103															
S-M6	Seed	0	0	239	239	146	174	102	102	202	301	163	206	103	103															
S-M7	Seed	176	176	281	281	160	176	102	154	153	204	192	192	99	99															
S-M8	Seed	176	176	267	267	160	174	154	154	301	301	217	217	99	99															
S-M9	Seed	176	176	281	281	176	231	102	158	153	153	225	225	99	99															
S-M10	Seed	176	176	279	279	184	184	102	102	153	202	192	225	99	99															
S-M11	Seed	176	176	279	279	231	231	102	158	153	153	221	221	99	99															
S-M12	Seed	176	176	281	281	174	174	102	154	153	204	192	192	99	99															
S-M13	Seed	176	176	0	0	174	231	0	0	150	150	192	221	0	0															
S-M14	Seed	176	176	209	281	160	160	102	154	0	0	0	0	101	101															
S-M15	Seed	154	154	209	287	156	156	102	102	153	206	206	206	87	87															
S-M16	Seed	176	176	209	209	156	176	102	102	153	206	206	206	99	99															
S-M17	Seed	176	176	287	287	156	174	154	154	206	206	206	206	99	99															
S-M18	Seed	150	150	287	287	174	174	156	156	153	153	206	206	0	0															
S-M19	Seed	0	0	0	0	176	176	102	102	208	208	206	206	0	0															
S-M20	Seed	0	0	0	0	186	186	102	130	208	208	206	206	0	0															
S-M21	Seed	0	0	0	0	174	174	130	130	150	150	206	206	95	95															
S-M22	Seed	176	176	251	251	186	186	102	154	208	208	206	206	95	95															
S-M23	Seed	176	176	209	209	176	176	0	0	208	214	163	217	95	95															
S-M24	Seed	0	0	209	209	184	184	158	158	153	153	219	219	101	101															
S-M25	Seed	154	154	209	209	184	184	102	102	153	153	223	223	101	101															
S-M26	Seed	0	0	209	209	184	184	130	130	190	190	219	219	85	85															
S-C1	Seed	154	154	209	209	174	174	102	102	153	153	266	266	99	99															
S-C2	Seed	0	0	209	209	174	174	102	102	204	204	219	219	95	103															
S-C3	Seed	176	176	251	279	174	176	102	102	153	301	192	192	91	99															
S-C4	Seed	176	176	0	0	174	174	102	102	208	208	270	270	99	99															
S-C5	Seed	154	154	0	0	122	122	102	102	200	200	163	266	103	103															
S-C6	Seed	176	176	239	239	176	176	102	102	204	204	231	231	95	95															
S-C7	Seed	176	176	251	251	154	178	102	102	208	208	221	221	0	0															
S-C8	Seed	0	0	0	0	172	172	154	154	202	202	192	192	0	0															
S-C9	Seed	176	176	223	223	156	156	102	144	153	153	0	0	0	0															
S-C10	Seed	154	154	279	279	132	132	0	0	204	204	272	272	103	103															
S-C11	Seed	176	176	209	209	122	154	102	102	168	168	192	192	85	85															
S-C12	Seed	150	176	209	209	174	203	102	102	204	204	266	266	111	111															
S-C13	Seed	154	176	209	209	158	174	102	102	0	0	280	280	95	95															
S-C14	Seed	154	176	209	209	122	122	102	102	153	153	266	266	99	99															
S-C15	Seed	154	154	209	209	132	176	102	102	208	208	266	266	103	103															
S-C16	Seed	176	176	209	261	176	176	102	102	208	208	268	268	103	103															
S-C17	Seed	178	178	209	209	122	158	102	102	206	206	268	268	111	111															
S-C18	Seed	176	176	209	261	132	158	102	102	0	0	0	0	99	99															
S-C19	Seed	178	178	0	0	158	158	0	0	206	206	0	0	99	99															
S-C20	Seed	154	176	261	261	144	172	102	102	206	206	217	217	99	99															
S-C21	Seed	154	154	0	0	132	174	102	158	202	202	192	192	103	103															
S-C22	Seed	154	154	251	251	0	0	102	154	208	208	272	272	111	111															
S-C23	Seed	154	154	209	209	176	176	154	154	204	208	217	217	0	0															
S-C24	Seed	154	176	209	279	174	174	102	102	202	297	192	192	99	99															
S-C25	Seed	154	178	229	229	156	176	102	154	208	208	217	217	99	99															
S-C26	Seed	154	176	279	279	176	176	102	102	208	208	0	0	99	99															
S-C27	Seed	154	176	205	251	172	172	102	154	168	168	280	280	111	111															
S-C28	Seed	154	154	205	279	172	172	102	154	168	168	280	280	99	99															
S-C29	Seed	154	176	281	281	156	229	102	154	204	204	163	221	99	99															
S-C30	Seed	154	154	209	281	229	229	100	154	153	208	163	215	111	111															
S-C31	Seed	154	154	251	251	154	176	102	154	204	204	215	215	103	103															
S-C32	Seed	154	154	209	281	154	229	102	154	153	204	215	215	111	111															
S-C33	Seed	154	176	251	251	156	229	102	154	208	208	163	163	0	0															
S-C34	Seed	154	178	209	231	122	122	102	154	168	208	163	163	103	103															
S-C35	Seed	154	154	201	251	122	122	102	154	208	208	206	268	111	111															
S-C36	Seed	154	154	209	209	122	122	102	154	153	208	268	268	95	95															
S-C37	Seed	176	176	251	251	178	178	102	102	208	301	163	163	99	99															
S-C38	Seed	176	176	251	251	178	178	102	102	186	186	163	163	111	111															
S-C39	Seed	154	176	308	308	146	146	102	158	208	208	206	206	111	111															
S-C40	Seed	154	176	308	308	158	158	102	154	204	204	215	215	99	99															
S-C41	Seed	154	154	308	308	176	176	102	102	204	204	215	215	91	91															
S-C42	Seed	154	154	308	308	122	176	158	158	204	204	213	213	91	99															
S-C43	Seed	154	154	0	0	176	176	102	158	153	204	206	206	103	103															
S-C44	Seed	176	176	239	239	146	203	102	102	186	297	272	272	111	111															
S-C45	Seed	176	176	239	239	203	203	102	102	186	186	231	231	0	0															
S-C46	Seed	154	176	209	209	176	176	102	102	186	186	272	272	0	0															
S-C47	Seed	176	176	239	239	176	176	102	102	208	208	215	215	95	95															
